"","Team","GP","TOI","W","L","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
"1","New York Rangers","20","1261.3","10","10","1133","1188","48.82","812","823","49.66","586","557","51.27","43","41","51.19","56.29","53.94","51.06","595","553","51.83","229","207","52.52","27","19","58.70","16.07","85.93","7.34","92.64","1.000"
"2","Ottawa Senators","7","423.9833","3","4","476","366","56.53","321","286","52.88","218","208","51.17","13","14","48.15","20.28","20.56","49.66","222","205","51.99","77","86","47.24","6","9","40.00","11.76","86.36","5.96","93.27","0.992"
"3","Washington Capitals","14","926.7333","7","7","734","953","43.51","530","645","45.11","386","459","45.68","29","30","49.15","29.14","36.66","44.29","286","422","40.40","117","146","44.49","12","19","38.71","14.63","81.19","7.51","93.46","1.010"
"4","Boston Bruins","7","450.4667","3","4","479","352","57.64","340","260","56.67","248","207","54.51","15","16","48.39","16.83","12.69","57.00","183","121","60.20","60","47","56.07","9","7","56.25","20.45","81.08","6.05","92.27","0.983"
"5","Florida Panthers","7","449.4333","3","4","329","386","46.01","263","301","46.63","196","223","46.78","17","18","48.57","15.95","21.03","43.12","144","175","45.14","51","79","39.23","8","11","42.11","20.00","82.54","8.67","91.93","1.006"
"6","New Jersey Devils","24","1514.35","14","10","1298","1188","52.21","963","897","51.77","681","648","51.24","59","58","50.43","65.92","57.2","53.54","603","534","53.03","240","207","53.69","33","34","49.25","18.64","79.01","8.66","91.05","0.997"
"7","Philadelphia Flyers","11","684.3333","5","6","545","681","44.45","399","488","44.98","299","346","46.36","41","44","48.24","29.4","34.25","46.19","256","326","43.99","114","122","48.31","25","22","53.19","28.09","73.49","13.71","87.28","1.010"
"8","Pittsburgh Penguins","6","362.3833","2","4","381","303","55.70","265","222","54.41","181","165","52.31","26","30","46.43","19.02","18.58","50.59","187","157","54.36","66","72","47.83","12","19","38.71","29.27","66.07","14.36","81.82","0.962"
"9","Nashville Predators","10","614.0667","5","5","535","570","48.42","411","418","49.58","275","296","48.16","22","21","51.16","25.37","23.4","52.02","234","222","51.32","107","81","56.91","15","12","55.56","20.00","80.00","8.00","92.91","1.009"
"10","Phoenix Coyotes","16","1030.0833","9","7","821","1134","41.99","612","859","41.60","427","603","41.46","37","35","51.39","34.27","50.71","40.33","338","480","41.32","124","217","36.36","20","19","51.28","21.51","87.90","8.67","94.20","1.029"
"11","Los Angeles Kings","20","1244.0667","16","4","1208","1045","53.62","902","773","53.85","611","539","53.13","57","30","65.52","60.41","43.81","57.96","531","437","54.86","227","169","57.32","33","15","68.75","20.25","88.46","9.33","94.43","1.038"
"12","Vancouver Canucks","5","304.45","1","4","326","302","51.91","231","225","50.66","172","166","50.89","8","12","40.00","11.99","16.59","41.95","137","147","48.24","55","61","47.41","3","7","30.00","7.14","84.78","4.65","92.77","0.974"
"13","San Jose Sharks","5","323.5667","1","4","317","281","53.01","212","208","50.48","144","153","48.48","8","14","36.36","14.2","13.6","51.07","168","120","58.33","60","39","60.61","6","7","46.15","13.95","74.07","5.56","90.85","0.964"
"14","St Louis Blues","9","563.5667","4","5","467","525","47.08","355","362","49.51","255","235","52.04","20","23","46.51","22.33","25.61","46.58","194","260","42.73","66","91","42.04","11","12","47.83","22.00","80.65","7.84","90.21","0.981"
"15","Chicago Blackhawks","6","398.3167","2","4","448","296","60.22","320","229","58.29","241","159","60.25","12","17","41.38","18.21","13.37","57.65","194","132","59.51","78","49","61.42","5","9","35.71","7.81","75.00","4.98","89.31","0.943"
"16","Detroit Red Wings","5","300","1","4","296","223","57.03","223","163","57.77","160","116","57.97","9","13","40.91","13.16","10.74","55.05","119","100","54.34","48","46","51.06","5","9","35.71","14.29","75.00","5.63","88.79","0.944"
