season,team,PP_Net%,PK_Net%
20072008,Anaheim Ducks,0.208333,0.736842
20072008,Calgary Flames,0.272727,0.806451
20072008,Nashville Predators,0.043478,0.884615
20072008,Dallas Stars,0.155555,0.828947
20072008,Ottawa Senators,0.076923,0.73913
20072008,Boston Bruins,0.1,0.939393
20072008,Colorado Avalanche,0.125,0.795454
20072008,New Jersey Devils,0.166666,0.764705
20072008,New York Rangers,0.166666,0.8125
20072008,Pittsburgh Penguins,0.206521,0.882352
20072008,Philadelphia Flyers,0.194029,0.786666
20072008,Washington Capitals,0.228571,0.777777
20072008,San Jose Sharks,0.142857,0.795454
20072008,Montréal Canadiens,0.10909,0.863636
20072008,Minnesota Wild,0.095238,0.866666
20072008,Detroit Red Wings,0.188679,0.918367
20082009,New York Rangers,0.096774,0.818181
20082009,Vancouver Canucks,0.227272,0.823529
20082009,Anaheim Ducks,0.26,0.8
20082009,Columbus Blue Jackets,0.230769,0.681818
20082009,Montréal Canadiens,0.0,0.75
20082009,Washington Capitals,0.211538,0.830769
20082009,Calgary Flames,0.111111,0.708333
20082009,Chicago Blackhawks,0.264705,0.8
20082009,Boston Bruins,0.116279,0.888888
20082009,Carolina Hurricanes,0.1,0.901408
20082009,Philadelphia Flyers,0.133333,0.90625
20082009,Pittsburgh Penguins,0.185567,0.845238
20082009,St. Louis Blues,0.041666,0.777777
20082009,New Jersey Devils,0.111111,0.931034
20082009,Detroit Red Wings,0.226804,0.746478
20082009,San Jose Sharks,0.166666,0.782608
20092010,Colorado Avalanche,0.133333,0.807692
20092010,Montréal Canadiens,0.123287,0.857142
20092010,New Jersey Devils,0.125,0.75862
20092010,Nashville Predators,0.0,0.869565
20092010,Los Angeles Kings,0.384615,0.75
20092010,Philadelphia Flyers,0.2,0.863157
20092010,Ottawa Senators,0.272727,0.75
20092010,Vancouver Canucks,0.18,0.685185
20092010,Phoenix Coyotes,0.181818,0.794117
20092010,Chicago Blackhawks,0.2,0.877777
20092010,Boston Bruins,0.244444,0.9
20092010,Buffalo Sabres,0.0,0.727272
20092010,Pittsburgh Penguins,0.245614,0.744186
20092010,Detroit Red Wings,0.192982,0.8125
20092010,San Jose Sharks,0.197183,0.836734
20092010,Washington Capitals,0.030303,0.866666
20102011,Anaheim Ducks,0.363636,0.814814
20102011,Los Angeles Kings,0.208333,0.913043
20102011,Tampa Bay Lightning,0.238805,0.935897
20102011,Nashville Predators,0.104166,0.75
20102011,Phoenix Coyotes,0.333333,0.733333
20102011,New York Rangers,0.05,0.8125
20102011,Buffalo Sabres,0.225806,0.857142
20102011,Chicago Blackhawks,0.206896,0.833333
20102011,Boston Bruins,0.102272,0.885416
20102011,Washington Capitals,0.142857,0.868421
20102011,Vancouver Canucks,0.139784,0.818181
20102011,Montréal Canadiens,0.222222,1.047619
20102011,Detroit Red Wings,0.186046,0.760869
20102011,Philadelphia Flyers,0.142857,0.80851
20102011,Pittsburgh Penguins,0.0,0.703703
20102011,San Jose Sharks,0.19178,0.763157
20112012,Phoenix Coyotes,0.12,0.907692
20112012,Philadelphia Flyers,0.333333,0.80851
20112012,Nashville Predators,0.121951,0.857142
20112012,Washington Capitals,0.179487,0.875
20112012,Florida Panthers,0.333333,0.84
20112012,St. Louis Blues,0.114285,0.921052
20112012,New Jersey Devils,0.129411,0.743902
20112012,San Jose Sharks,0.117647,0.666666
20112012,New York Rangers,0.178082,0.840579
20112012,Pittsburgh Penguins,0.206896,0.47826
20112012,Los Angeles Kings,0.127659,0.986842
20112012,Ottawa Senators,0.153846,0.84375
20112012,Detroit Red Wings,0.173913,0.90909
20112012,Vancouver Canucks,0.047619,0.884615
20112012,Boston Bruins,0.086956,0.842105
20112012,Chicago Blackhawks,0.052631,0.789473
20122013,Los Angeles Kings,0.153846,0.894736
20122013,Minnesota Wild,-0.058823,0.846153
